::1 - - [05/Aug/2025:17:00:13 +0000] "PUT /api/user/preferences/ HTTP/1.1" 200 46 "-" "node"
::1 - - [05/Aug/2025:17:00:16 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:00:16 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:00:56 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:00:56 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:03:06 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:03:06 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:04:36 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:04:36 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:06:42 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:06:46 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::ffff:127.0.0.1 - - [05/Aug/2025:17:06:46 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:06:58 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:07:01 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::ffff:127.0.0.1 - - [05/Aug/2025:17:07:01 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:07:31 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::1 - - [05/Aug/2025:17:07:47 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::1 - - [05/Aug/2025:17:08:10 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:08:16 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::ffff:127.0.0.1 - - [05/Aug/2025:17:08:17 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:08:37 +0000] "PUT /api/user/preferences/ HTTP/1.1" 200 46 "-" "node"
::1 - - [05/Aug/2025:17:08:43 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::1 - - [05/Aug/2025:17:11:11 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:11:11 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::ffff:127.0.0.1 - - [05/Aug/2025:17:11:23 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:11:59 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:11:59 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:12:11 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:12:11 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:12:33 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:12:33 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:13:40 +0000] "GET /api/user/ HTTP/1.1" 200 155 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:13:40 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:13:47 +0000] "GET /api/user/ HTTP/1.1" 200 167 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:13:47 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:13:49 +0000] "GET /api/user/ HTTP/1.1" 200 167 "-" "node"
::ffff:127.0.0.1 - - [05/Aug/2025:17:13:49 +0000] "GET /uploads/profile-images/user_6.png HTTP/1.1" 200 16811 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:142.0) Gecko/20100101 Firefox/142.0"
::1 - - [05/Aug/2025:17:13:53 +0000] "GET /api/user/ HTTP/1.1" 200 167 "-" "node"
